C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
Express-8 (r) Location Version 
Version V5.94

4/15/2026, 17:03:41

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1           39.7983425   6     1    13     2        77  53 410.830E+00
  1           42.3259200   1     1    14     2        48  55 582.567E+00
  1           42.3259245   3     9    15     4       168  58 942.858E+00
  1           42.3259420   2     1     2     0         4  54  37.952E+00
  1           42.3259665   6     1     9     1        41  52 191.353E+00
  1           42.4216770   1    29    19     4       132  57   1.035E+03
  1           42.4216815   3     9    18     5       222  61   1.496E+03
  1           42.4216990   2     1     4     0         9  57 158.178E+00
  1           42.4217115   6    40    13     3       118  54 480.955E+00
  1           42.5177210   1     9    12     3       132  55 668.652E+00
  1           42.5177255   3    10    15     4       169  59 934.959E+00
  1           42.5177565   6     1    10     1        55  51 248.817E+00
  1           42.6134580   1    32    19     4       132  57   1.041E+03
  1           42.6134625   3     9    17     5       175  61   1.473E+03
  1           42.6134800   2     1     3     0         7  54  98.751E+00
  1           42.6134925   6    40    13     3       118  54 485.023E+00
  1           42.7092140   1     9    12     2        60  55 593.978E+00
  1           42.7092185   3     3    15     4       169  59 927.071E+00
  1           42.7092360   2     1     2     0         7  52  55.871E+00
  1           42.7092495   6     1     9     1        55  52 247.861E+00
  1           42.8050820   1     9    19     4       166  57   1.055E+03
  1           42.8050865   3    10    18     5       172  60   1.384E+03
  1           42.8050990   2     2     2     0         9  55 157.625E+00
  1           42.8051175   6     1    13     2        77  53 414.619E+00
  1           42.8716455   3     1     2     0         5  48  15.976E+00
  1           42.8716700   1     1     1     0         1  45   0.000E+00
  1           42.9016860   1    15    15     3       132  55 683.835E+00
  1           42.9016905   3     9    16     4       172  59 958.827E+00
  1           42.9017080   2     1     2     0         7  53  72.532E+00
  1           42.9017325   6     1     8     1        44  52 209.596E+00
  1           42.9977420   1    29    19     4       137  57   1.060E+03
